Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;In my wellbeing services county, I should be able to get non-urgent treatment in primary health care within two weeks.;Customer fees for public healthcare should be reduced.;It is right that public money is spent to support people's use of private healthcare.;One round-the-clock specialist hospital with emergency services will be enough in my wellbeing services county in the future.;I am prepared to compromise on the social and health services of my home municipality if it is in the interest of the entire wellbeing services county.;My wellbeing services county should attract doctors to health centers with financial incentives, even if that means cutting spending elsewhere.;My wellbeing services county should attract care staff from abroad.;My wellbeing services county must ensure that caregivers have a good command of Finnish or Swedish.;My wellbeing services county should also offer undocumented people healthcare that is not required by law.;This wellbeing services county should stop providing free contraception for young people.;My wellbeing services county should train social and healthcare workers about the diversity of sexual orientation and gender.;It is right that even small hospitals in Swedish-speaking areas be allowed maintain 24-hour special medical care services due to linguistic rights.;Young people should be able to access mental health services without an appointment in my wellbeing services county.;We should add more beds to 24-hour service housing for the elderly, even if it costs more.;In eldercare, home visits can be replaced by remote services.;Adult children should take more responsibility for caring for their elderly parents than they do now.;We must accept that one's place of residence affects the availability of basic social and healthcare services.;This wellbeing services county should reduce its purchase of child protection services from large companies.;Drug users should have the opportunity to exchange dirty needles for clean ones in all the municipalities in my wellbeing services county.;The current fire brigades must be maintained, even in remote areas.;Wellbeing services counties should be given the right to collect tax.;The number of wellbeing services counties should be reduced from the current 21.;Well-being areas must make budget cuts within the required timeframe, even if that means that services must be quickly reduced.;No-one should be allowed to hold triple roles as MP, municipal councillor and regional councillor at the same time.;My wellbeing services county must take into account the reduction of climate emissions in all its decisions.
Aku Haikala;Vasemmistoliitto;Joensuu;alempi korkeakoulututkinto;2001;suomi;suomi, ruotsi, englanti;male;3;2;3;2;3;0;1;3;3;0;2;0;3;3;2;0;1;3;3;3;2;1;0;1;3
Aku Houttu;Vasemmistoliitto;Jyväskylä;alempi korkeakoulututkinto;1997;suomi;suomi, englanti;male;3;3;0;0;3;2;2;3;3;0;3;1;3;3;1;0;2;3;3;2;3;2;0;3;3
Aku Saastamoinen;Suomen Keskusta;Pielavesi;alempi korkeakoulututkinto;1987;suomi;;male;1;2;2;2;0;2;2;2;0;0;2;1;2;2;1;1;3;1;3;3;1;0;0;1;1
Aku Westerholm;Kansallinen Kokoomus;Rovaniemi;ylioppilas;2001;suomi;suomi, ruotsi, englanti;male;3;0;3;2;1;2;1;3;0;0;1;2;3;1;1;2;3;2;3;3;0;3;3;0;1
Aku-Matti Juttuniemi;Perussuomalaiset;Lappajärvi;ammattitutkinto;1979;suomi;suomi, englanti;male;2;2;2;1;2;2;1;3;1;1;1;1;2;2;0;2;2;1;2;2;1;2;1;2;1
Aladdin Delli;Vihreä liitto;Tampere;alempi korkeakoulututkinto;1989;jokin muu;suomi, arabia;male;3;2;1;1;3;3;3;3;3;3;0;2;1;3;1;3;1;2;3;3;0;3;2;0;3
Alas Ali;Suomen Sosialidemokraattinen Puolue;Turku;ylempi korkeakoulututkinto;1975;jokin muu;suomi, englanti;male;3;3;2;0;2;2;0;3;2;1;1;0;3;3;0;2;0;2;1;3;2;0;0;1;2
Aleksandra Silna-Snellman;Suomen Sosialidemokraattinen Puolue;Uusikaarlepyy;ammattitutkinto;1976;jokin muu;suomi, ruotsi, englanti, saksa, venäjä;female;3;2;3;3;0;2;2;3;2;0;3;2;2;2;1;1;1;2;3;3;2;0;0;2;3
Aleksanteri Gustafsson;Suomen Sosialidemokraattinen Puolue;Järvenpää;alempi korkeakoulututkinto;1994;suomi;suomi, ruotsi, englanti, saksa;male;3;3;0;1;1;2;2;3;2;0;3;1;3;3;0;1;1;3;2;3;2;2;0;2;2
Aleksi Blomster;Vasemmistoliitto;Rovaniemi;ylempi korkeakoulututkinto;1985;suomi;suomi, englanti;male;3;3;0;0;3;2;3;3;2;0;3;2;3;2;2;0;1;3;3;2;3;1;0;1;3
Aleksi Eskelinen;Suomen Keskusta;Kuopio;ylioppilas;1986;suomi;suomi, englanti;male;3;1;2;3;2;2;3;3;2;0;3;0;3;1;2;2;2;2;3;3;0;1;0;2;1
Aleksi Grönblom;Perussuomalaiset;Ulvila;ammattitutkinto;1990;suomi;suomi, englanti;male;3;1;0;1;1;2;0;3;1;0;0;1;2;3;1;1;0;2;1;3;2;1;1;3;1
Aleksi Hintta;Perussuomalaiset;Haapavesi;alempi korkeakoulututkinto;2000;suomi;suomi, englanti;male;1;1;1;2;1;2;1;3;0;1;1;0;2;2;2;2;1;2;2;3;0;2;2;3;0
Aleksi Kivekäs;Vasemmistoliitto;Kirkkonummi;alempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti, espanja;male;0;2;2;0;0;0;2;3;0;0;3;3;3;2;0;0;3;3;3;3;3;0;0;3;3
Aleksi Koivisto;Suomen Keskusta;Vaasa;ylempi korkeakoulututkinto;1994;suomi;suomi, ruotsi, englanti;male;3;2;2;2;1;2;2;2;2;0;3;3;3;2;0;2;1;2;2;3;2;1;1;3;1
Aleksi Konttinen;Vasemmistoliitto;Orimattila;ammattitutkinto;1973;suomi;suomi, englanti;male;3;2;1;1;0;1;1;2;3;0;3;0;3;2;1;1;0;2;3;3;2;1;1;2;3
Aleksi Mäkelä;Suomen Keskusta;Pirkkala;ammattitutkinto;1999;suomi;suomi, englanti;male;1;1;2;1;1;2;1;3;0;2;1;2;2;2;1;0;0;1;2;3;3;0;1;3;1
Aleksi Mäntylä;Vihreä liitto;Lahti;alempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;male;2;2;1;2;2;1;2;2;2;0;3;0;3;2;2;1;2;2;3;2;3;2;1;3;3
Aleksi Nikkanen;Kansallinen Kokoomus;Marttila;ylioppilas;1982;suomi;suomi, englanti;male;2;1;3;1;2;2;2;2;1;1;1;1;2;2;2;2;2;1;0;3;0;3;1;1;1
Aleksi Nikula;Vasemmistoliitto;Oulu;ylempi korkeakoulututkinto;1991;suomi;suomi, ruotsi, englanti, saksa;male;2;2;0;0;2;3;2;3;3;0;3;1;3;2;0;1;0;3;3;2;3;1;0;2;3
Aleksi Niskanen;Suomen Keskusta;Tampere;alempi korkeakoulututkinto;1997;suomi;suomi, ruotsi, englanti;male;1;1;1;2;2;1;2;3;2;2;2;0;2;2;1;1;1;2;2;2;1;2;1;3;3
Aleksi Parkkonen;Vihreä liitto;Jyväskylä;ylempi korkeakoulututkinto;1991;suomi;suomi, ruotsi, englanti;male;3;1;1;0;0;1;2;2;2;0;2;1;2;1;0;2;2;1;3;3;1;0;0;2;3
Aleksi Pehkonen;Perussuomalaiset;Lapinlahti;ammattitutkinto;2006;suomi;suomi;male;2;2;2;1;0;2;1;3;2;2;1;2;3;2;1;1;0;2;0;2;1;1;1;0;0
Aleksi Peltosaari;Suomen Keskusta;Vaasa;ylioppilas;2004;suomi;suomi, ruotsi, englanti, saksa, venäjä;male;3;2;2;0;3;3;2;3;3;0;3;3;3;3;0;1;1;2;3;3;0;0;0;0;3
Aleksi Salonen;Vasemmistoliitto;Mäntyharju;ammattitutkinto;1988;suomi;suomi, englanti;male;3;3;2;3;0;0;1;3;2;0;1;1;3;2;0;2;3;3;2;3;0;0;0;3;2
Aleksi Sandroos;Suomen Keskusta;Sastamala;ylioppilas;1994;suomi;suomi, englanti;male;3;2;1;1;0;1;1;1;1;0;1;1;3;2;0;0;0;1;1;3;1;1;1;2;1
Aleksi Saukkoriipi;Suomen Sosialidemokraattinen Puolue;Lempäälä;ylempi korkeakoulututkinto;1988;suomi;ruotsi, englanti;male;1;2;0;3;2;1;1;2;1;1;2;0;1;1;2;1;2;2;2;2;2;2;1;1;1
Aleksi Stenberg;Suomen Kristillisdemokraatit (KD);Turku;ylempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;male;1;1;2;1;2;1;1;3;1;2;0;2;2;2;0;2;1;2;2;3;0;2;1;2;1
Aleksi Taipale;Suomen Keskusta;Inari;alempi korkeakoulututkinto;1989;suomi;suomi, englanti;male;2;2;3;1;1;2;1;2;1;0;1;1;3;2;1;3;1;1;2;3;2;1;0;2;3
Aleksi Vilpponen;Kansallinen Kokoomus;Jyväskylä;peruskoulu;2006;suomi;suomi, englanti;male;2;1;2;3;2;1;2;3;1;0;2;1;2;1;1;1;2;1;3;2;0;3;3;2;2
Alex Nurmi;Perussuomalaiset;Oulu;ammattitutkinto;1981;suomi;suomi, englanti;male;1;2;1;2;2;1;0;3;0;2;0;1;1;3;0;2;2;2;2;3;0;3;3;2;0
Alex Siira;Vihreä liitto;Tampere;alempi korkeakoulututkinto;2001;suomi;suomi, englanti, venäjä;male;3;2;0;2;1;1;3;3;3;0;3;1;3;2;0;2;1;2;3;3;2;2;2;0;3
Alex Tabell;Kansallinen Kokoomus;Jyväskylä;ammattitutkinto;1985;suomi;suomi, englanti;male;1;2;2;2;2;1;2;1;1;0;2;1;2;1;2;1;2;1;3;2;1;2;2;3;2
Alexander Kruglov;Suomen ruotsalainen kansanpuolue;Kemiönsaari;ylioppilas;2000;ruotsi;suomi, ruotsi, englanti, saksa, venäjä;male;3;2;2;1;1;2;2;1;2;0;2;2;2;2;1;2;2;2;2;3;2;2;2;1;2
Alexey Bulavtsev;Vapauden liitto;Sulkava;ylempi korkeakoulututkinto;1989;jokin muu;suomi, englanti, venäjä;male;3;2;2;1;1;2;2;2;1;1;1;1;1;2;1;0;1;2;1;2;0;1;0;3;0
Alexsandra Hildén;Suomen Sosialidemokraattinen Puolue;Vantaa;peruskoulu;2005;suomi;suomi, englanti;female;3;3;1;0;1;2;1;3;3;0;3;3;3;2;0;2;0;2;3;2;1;1;1;3;2
Alia Dannenberg;Vasemmistoliitto;Joensuu;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti, saksa;female;3;3;0;2;3;2;3;1;3;0;3;1;3;2;2;0;3;3;3;3;3;1;1;3;3
Alice Girs;Perussuomalaiset;Turku;alempi korkeakoulututkinto;1990;suomi;suomi, ruotsi, englanti;female;2;1;1;0;3;1;1;3;0;2;1;1;2;2;0;1;2;2;2;2;0;1;2;2;1
Aliisa Wahlsten;Vihreä liitto;Turku;alempi korkeakoulututkinto;1996;suomi;suomi, ruotsi, englanti;female;2;2;1;2;2;1;2;3;2;1;3;1;3;2;1;1;1;2;3;2;2;2;1;2;3
Alina Lehto;Suomen Keskusta;Seinäjoki;alempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;female;1;2;2;2;2;1;2;3;0;1;2;1;2;2;2;2;1;1;2;2;1;0;1;2;1
Alisa Ala-salomäki;Liike Nyt;Pirkkala;alempi korkeakoulututkinto;1990;suomi;suomi, englanti;female;2;2;0;0;1;2;1;2;0;2;1;2;3;2;0;2;2;2;0;3;0;1;1;3;0
Alli Vähätiitto;Vasemmistoliitto;Kangasala;alempi korkeakoulututkinto;1993;suomi;suomi, englanti;female;3;3;1;1;1;2;1;3;2;0;3;2;2;3;2;1;0;3;3;2;3;2;0;3;3
Allu Pyhälammi;Vihreä liitto;Lahti;ylempi korkeakoulututkinto;1985;suomi;suomi, ruotsi, englanti, saksa;female;3;3;2;1;2;2;3;2;2;0;3;2;3;2;1;2;1;2;3;2;2;1;1;2;2
Alpo Sammalkangas;Perussuomalaiset;Kokkola;ammattitutkinto;1983;suomi;suomi;male;1;1;1;1;1;0;1;1;0;2;1;0;1;1;1;2;1;2;0;1;0;2;2;1;0
Altti Torkkeli;Suomen Kristillisdemokraatit (KD);Tuusula;ylempi korkeakoulututkinto;1968;suomi;suomi, englanti;male;0;3;2;3;1;3;0;3;0;3;0;3;3;3;0;2;0;2;3;3;0;1;1;3;0
Alvar Kulmäsu;Vihreä liitto;Lahti;ylioppilas;1990;suomi;suomi, englanti, viro;male;3;3;1;3;3;2;2;3;3;0;3;0;3;3;2;0;0;3;3;3;2;1;0;2;3
Amanda Harkimo;Liike Nyt;Sipoo;ammattitutkinto;1990;ruotsi;suomi, ruotsi, englanti;female;2;1;1;0;0;3;3;1;0;0;1;1;1;3;0;2;0;0;3;2;3;3;0;3;3
Amanda Raunio;Suomen ruotsalainen kansanpuolue;Porvoo;alempi korkeakoulututkinto;1999;ruotsi;suomi, ruotsi, englanti;female;3;2;1;1;1;2;2;3;2;0;2;3;3;2;1;0;1;2;2;2;0;0;1;2;2
Amelia Eskelinen;Vasemmistoliitto;Kajaani;ammattitutkinto;1983;suomi;suomi, ruotsi, englanti;female;3;3;0;1;2;1;3;3;3;0;3;1;3;2;0;1;0;3;3;3;2;0;0;2;2
Ami Kimanen;Perussuomalaiset;Lapua;ylioppilas;2000;suomi;suomi, englanti, joku muu;female;2;1;2;3;1;2;0;3;0;3;0;0;2;2;0;3;3;1;1;2;0;3;2;3;0
Ammi Ruotsalainen;Vasemmistoliitto;Oulu;alempi korkeakoulututkinto;1981;suomi;suomi, ruotsi, englanti;female;3;3;1;0;2;2;2;3;3;0;3;1;3;2;1;1;1;2;3;2;2;1;0;2;3
Amu Urhonen;Vihreä liitto;Tampere;ylempi korkeakoulututkinto;1980;suomi;ruotsi, englanti, saksa;female;2;3;0;1;3;2;3;1;3;0;3;2;2;3;1;0;3;3;3;3;3;3;1;3;3
Andeliina Cieslak;Kansallinen Kokoomus;Hyvinkää;alempi korkeakoulututkinto;1991;suomi;suomi, englanti;female;2;1;2;3;2;1;2;3;2;0;2;1;3;2;2;2;2;2;3;3;1;3;1;2;2
Anders Adlercreutz;Suomen ruotsalainen kansanpuolue;Kirkkonummi;ylempi korkeakoulututkinto;1970;ruotsi;suomi, ruotsi, englanti, venäjä, espanja, italia, joku muu;male;2;1;2;0;1;1;2;3;3;0;3;3;3;2;1;1;1;1;3;3;1;1;1;2;2
Anders Nyberg;Suomen ruotsalainen kansanpuolue;Kokkola;alempi korkeakoulututkinto;1961;ruotsi;suomi, ruotsi, englanti, saksa;male;3;3;1;3;2;2;3;3;3;0;3;1;3;2;1;2;2;2;3;3;1;0;0;2;3
Anders Nyman;Vasemmistoliitto;Kokkola;alempi korkeakoulututkinto;1981;ruotsi;suomi, ruotsi, englanti, saksa;male;3;3;2;0;0;0;2;3;3;0;3;2;3;3;0;0;0;3;3;3;1;0;0;3;3
Anders Wikström;Suomen ruotsalainen kansanpuolue;Sipoo;alempi korkeakoulututkinto;1980;ruotsi;suomi, ruotsi, englanti;male;3;1;2;2;0;2;3;3;3;0;3;3;3;3;1;1;0;2;2;3;1;0;1;0;1
Andia Bonnor;Vihreä liitto;Jyväskylä;ammattitutkinto;1969;jokin muu;suomi, englanti;female;2;2;2;0;2;1;3;0;3;0;3;3;3;2;2;1;0;1;2;3;3;0;1;3;3
Andreas Hindrén;Suomen ruotsalainen kansanpuolue;Raasepori;alempi korkeakoulututkinto;1992;ruotsi;suomi, ruotsi, englanti;male;2;0;2;0;0;2;2;3;1;0;3;3;3;3;1;2;1;1;2;3;2;0;1;0;2
Andreas Hjulfors;Suomen Kristillisdemokraatit (KD);Luoto;ylempi korkeakoulututkinto;1978;ruotsi;suomi, ruotsi, englanti;male;3;1;2;1;0;1;1;2;0;3;0;3;2;3;1;0;2;1;0;3;0;1;1;2;1
Andrew Kallman;Suomen Kristillisdemokraatit (KD);Pietarsaari;ylempi korkeakoulututkinto;1961;jokin muu;ruotsi, englanti;male;1;0;1;1;1;2;3;2;1;2;0;3;1;2;0;2;2;2;1;2;1;1;1;2;0
Anette Johansson;Vasemmistoliitto;Kokkola;alempi korkeakoulututkinto;1985;suomi;suomi, ruotsi, englanti;female;3;3;0;2;1;2;1;2;2;0;3;2;2;3;1;2;1;3;3;2;2;0;1;2;2
Anette Pottonen;Suomen Sosialidemokraattinen Puolue;Espoo;alempi korkeakoulututkinto;1999;suomi;suomi, englanti;female;3;2;1;1;0;1;1;3;3;0;3;0;3;3;2;1;3;1;3;3;1;1;0;3;3
Anita Dufholm;Suomen ruotsalainen kansanpuolue;Raasepori;alempi korkeakoulututkinto;1975;ruotsi;suomi, ruotsi, englanti;female;3;2;2;0;1;1;2;2;2;0;2;2;3;2;1;1;2;2;3;3;1;0;1;2;2
Anita Huhtala;Vihreä liitto;Lempäälä;ylempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti, saksa, ranska, espanja;female;2;2;1;1;1;1;2;2;2;1;2;1;2;3;1;1;1;3;2;2;2;1;0;2;2
Anita Lehikoinen;Perussuomalaiset;Vihti;ammattitutkinto;1962;suomi;suomi, ruotsi, englanti;female;2;3;2;0;0;3;0;3;0;0;1;2;3;3;0;1;0;1;2;3;0;0;0;1;2
Anita Närhi;Kansallinen Kokoomus;Lahti;ylioppilas;1985;suomi;suomi, englanti;female;2;2;2;3;2;2;2;1;1;0;1;0;3;2;0;2;2;2;3;2;1;0;1;3;3
Anita Ruokamo;Suomen Keskusta;Kemijärvi;joku muu;1959;suomi;suomi, ruotsi, englanti;female;0;2;2;1;0;3;2;2;2;1;2;1;1;3;1;1;0;2;2;3;0;0;0;1;2
Anita Westerholm;Suomen ruotsalainen kansanpuolue;Raasepori;alempi korkeakoulututkinto;1995;ruotsi;suomi, ruotsi, englanti, saksa;female;2;1;2;0;1;2;2;3;3;0;3;3;3;3;0;0;0;2;3;3;1;0;1;3;3
Anitta Jaakola;Suomen Keskusta;Ranua;alempi korkeakoulututkinto;1962;suomi;suomi, ruotsi, englanti;female;2;0;1;1;1;0;2;3;1;0;3;0;2;2;2;0;0;2;3;3;0;0;0;1;2
Anitta Orpana;Kansallinen Kokoomus;Vantaa;ylempi korkeakoulututkinto;1953;suomi;suomi, ruotsi, englanti, saksa;female;3;1;2;2;0;1;2;2;0;0;1;0;3;3;2;0;0;0;3;3;0;2;1;1;2
Anja Jokinen;Kansallinen Kokoomus;Leppävirta;ylempi korkeakoulututkinto;1970;suomi;suomi, englanti;female;1;1;2;2;3;1;2;2;1;1;2;1;2;1;2;2;3;1;2;2;0;3;2;2;2
Anja Keskitalo;Suomen Keskusta;Kittilä;ammattitutkinto;1959;suomi;suomi, englanti;female;3;3;1;0;1;1;1;3;3;0;3;2;3;3;1;1;0;2;3;3;1;1;0;2;2
Anja Oravala;Vihreä liitto;Vihti;alempi korkeakoulututkinto;1964;suomi;ruotsi, englanti;female;3;2;1;1;1;1;2;3;3;0;3;0;3;3;2;1;1;3;3;3;3;2;0;2;3
Anja Presnukhina;Vihreä liitto;Kirkkonummi;ylioppilas;2001;jokin muu;suomi, ruotsi, englanti, ranska, venäjä, ukraina;female;3;2;1;0;1;1;2;3;3;0;3;1;3;3;0;1;1;2;3;3;3;2;0;3;3
Anja Roikonen;Suomen Keskusta;Kotka;ylempi korkeakoulututkinto;1948;suomi;suomi, ruotsi, englanti, saksa;female;2;2;3;3;2;1;2;2;2;1;2;2;2;2;2;1;0;2;1;2;2;1;1;2;2
Anja Tiainen;Vasemmistoliitto;Kajaani;ylempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti;female;3;3;0;3;2;1;2;2;2;1;3;0;1;3;1;0;1;3;2;2;2;1;0;1;1
Anja Törmä;Suomen Keskusta;Kannus;ammattitutkinto;1952;suomi;suomi;female;3;1;0;3;0;0;3;3;2;0;3;1;3;3;2;0;2;3;1;3;1;0;0;0;2
Anjariitta Carlson;Kansallinen Kokoomus;Hartola;ylempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti;female;2;2;2;3;0;1;2;3;1;0;3;1;3;2;1;2;0;1;2;2;0;1;0;0;2
Ann Lindgren;Vihreä liitto;Järvenpää;alempi korkeakoulututkinto;1981;suomi;suomi, englanti, saksa, espanja, viittomakieli;female;2;3;1;2;1;1;2;2;2;1;3;2;2;2;0;1;1;2;3;2;2;1;1;2;3
Ann-Britt Backull;Suomen ruotsalainen kansanpuolue;Vöyri;ylioppilas;1963;ruotsi;suomi, ruotsi, englanti, saksa;female;1;1;2;2;1;0;2;3;0;1;3;3;3;2;1;2;0;1;1;3;3;0;0;0;2
Ann-Katrin Tyni-Nummelin;Suomen ruotsalainen kansanpuolue;Turku;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti, saksa, ranska;female;1;1;2;1;2;1;2;3;2;0;1;2;2;2;2;1;2;2;2;2;1;0;0;3;2
Ann-Marie Kulla;Suomen Sosialidemokraattinen Puolue;Kemiönsaari;alempi korkeakoulututkinto;1986;ruotsi;suomi, ruotsi, englanti, ranska;female;3;3;2;1;0;3;1;3;1;0;2;3;3;3;0;1;0;1;2;3;2;0;0;2;3
Ann-Niina Turunen;Suomen Kristillisdemokraatit (KD);Lappeenranta;ammattitutkinto;1974;suomi;suomi, englanti;female;1;1;2;3;2;1;1;3;1;1;1;1;2;2;0;1;1;2;3;2;0;1;1;1;1
Ann-Sofie Smeds-Nylund;Suomen ruotsalainen kansanpuolue;Närpiö;ylempi korkeakoulututkinto;1958;ruotsi;suomi, ruotsi, englanti, saksa;female;2;1;2;2;2;2;1;3;3;3;3;2;3;2;1;2;2;1;2;2;1;0;1;1;2
Ann-christine Teir;Perussuomalaiset;Vantaa;ylioppilas;1960;ruotsi;suomi, ruotsi, englanti, saksa;female;1;1;2;3;0;2;1;3;0;2;2;3;2;3;1;2;0;2;0;3;0;3;0;3;0
Ann-mari Lehtinen;Suomen Sosialidemokraattinen Puolue;Hollola;alempi korkeakoulututkinto;1966;suomi;;female;3;3;0;3;2;1;1;3;0;0;3;0;3;3;0;0;0;3;3;3;0;1;0;3;2
Anna Aintila;Suomen ruotsalainen kansanpuolue;Kirkkonummi;ylempi korkeakoulututkinto;1967;ruotsi;suomi, englanti;female;2;1;1;0;2;0;3;3;3;0;3;3;3;3;1;1;1;3;3;3;0;0;2;1;3
Anna Caldén;Suomen Sosialidemokraattinen Puolue;Uusikaarlepyy;alempi korkeakoulututkinto;1980;ruotsi;suomi, englanti, saksa, ranska;female;3;3;1;0;1;1;2;2;3;0;3;3;3;3;1;1;1;1;3;3;0;0;0;1;2
Anna Danska;Kansallinen Kokoomus;Tampere;ylempi korkeakoulututkinto;1962;suomi;suomi, ruotsi, englanti, saksa;female;1;1;2;2;2;1;2;1;1;1;1;1;2;2;0;1;3;1;1;2;0;3;2;1;2
Anna Estola;Vasemmistoliitto;Joensuu;ylempi korkeakoulututkinto;1990;suomi;suomi, ruotsi, englanti, viro;female;3;3;0;0;0;0;3;2;3;0;3;3;3;3;0;1;0;3;3;3;3;0;0;2;3
Anna Filatoff;Kansallinen Kokoomus;Parainen;ylioppilas;1979;suomi;suomi, ruotsi, englanti;female;2;0;3;2;2;2;2;3;2;0;2;1;3;2;2;3;1;1;2;2;0;1;1;3;2
Anna Granlund;Vihreä liitto;Seinäjoki;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;female;2;3;1;3;2;1;2;2;2;0;2;1;3;1;2;1;2;2;2;3;2;1;1;2;2
Anna Helminen;Kansallinen Kokoomus;Imatra;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;female;1;0;3;3;1;2;3;2;2;0;2;0;3;3;2;2;3;2;3;3;1;2;0;0;2
Anna Jukantupa;Vasemmistoliitto;Ylöjärvi;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;female;3;3;0;0;0;1;2;3;3;0;3;2;3;3;2;1;0;3;3;3;3;2;0;3;3
Anna Karjula;Suomen Keskusta;Kontiolahti;ylempi korkeakoulututkinto;1987;suomi;suomi, ruotsi, englanti;female;2;2;1;3;2;2;2;2;1;0;2;1;1;2;1;1;1;2;3;2;1;1;1;2;1
Anna Kontula;Vasemmistoliitto;Valkeakoski;joku muu;1977;suomi;suomi, englanti;;3;3;1;2;1;2;2;3;3;0;3;1;2;3;2;0;0;3;3;2;3;1;0;1;3
Anna Korhonen;Suomen ruotsalainen kansanpuolue;Espoo;ylempi korkeakoulututkinto;1977;ruotsi;suomi, ruotsi, englanti;female;2;1;2;0;1;2;3;3;3;0;3;3;3;3;1;2;1;1;3;3;2;0;1;2;3
Anna Koskela;Suomen Keskusta;Oulu;alempi korkeakoulututkinto;1970;suomi;suomi, englanti, joku muu;female;3;2;1;0;3;0;1;3;0;0;0;0;3;3;2;2;0;3;2;3;0;2;0;3;1
Anna Kuusela;Perussuomalaiset;Lahti;alempi korkeakoulututkinto;1980;jokin muu;suomi, englanti, ranska, venäjä;female;3;2;0;3;2;1;0;3;0;0;0;0;3;2;0;1;1;3;0;3;2;2;2;3;0
Anna Kylmälä;Vihreä liitto;Jyväskylä;ammattitutkinto;1982;suomi;suomi, englanti;female;2;2;2;1;2;2;2;3;2;0;3;1;3;2;1;1;2;2;3;2;1;3;1;2;3
Anna Laine;Vihreä liitto;Espoo;ylempi korkeakoulututkinto;1981;suomi;suomi, englanti;female;2;1;1;1;2;2;2;2;2;0;3;1;3;2;1;1;1;2;3;3;2;2;1;2;3
Anna Leinonen;Perussuomalaiset;Joensuu;ammattitutkinto;1989;jokin muu;suomi, ranska;female;3;3;3;1;0;1;0;3;0;0;0;3;3;2;1;2;0;1;0;3;0;0;1;0;0
Anna Lena Karlsson-finne;Suomen ruotsalainen kansanpuolue;Kauniainen;alempi korkeakoulututkinto;1960;ruotsi;suomi, ruotsi, englanti, saksa;female;2;1;1;0;2;0;3;3;3;0;1;3;3;3;0;1;0;0;1;3;1;1;0;3;2
Anna Matoog;Vasemmistoliitto;Hyvinkää;alempi korkeakoulututkinto;1988;suomi;suomi, englanti;female;3;3;0;1;1;2;3;3;3;0;3;2;3;3;1;1;1;3;3;3;2;0;0;2;3
Anna Moilanen;Vihreä liitto;Tampere;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;female;3;3;1;1;2;2;2;3;2;0;3;1;3;2;2;1;0;3;3;3;3;1;1;2;3
Anna Nikitina;Vasemmistoliitto;Lappeenranta;ylempi korkeakoulututkinto;1996;jokin muu;suomi, englanti, venäjä;female;2;1;1;2;2;2;3;2;2;0;2;2;2;2;1;1;1;2;3;2;2;1;1;2;2
Anna Nurmi-lehto;Kansallinen Kokoomus;Kokkola;ylioppilas;1985;suomi;suomi, ruotsi, englanti;female;1;1;3;3;3;1;2;2;2;0;2;1;3;2;2;2;2;2;2;2;0;1;2;0;2
Anna Oksanen;Suomen ruotsalainen kansanpuolue;Raasepori;ylempi korkeakoulututkinto;1995;suomi;suomi, ruotsi, englanti;female;3;2;1;1;0;2;3;2;3;0;3;2;3;2;1;1;0;2;3;3;1;1;1;1;2
Anna Partanen;Suomen Keskusta;Kuopio;ylempi korkeakoulututkinto;1978;suomi;;female;3;2;1;1;1;2;2;2;1;0;2;1;3;3;1;2;0;2;3;2;1;0;0;1;3
Anna Pelkonen;Kansallinen Kokoomus;Espoo;ylempi korkeakoulututkinto;1956;suomi;suomi, ruotsi, englanti;female;2;1;2;2;2;1;2;3;1;1;2;1;2;1;2;2;2;1;1;2;0;1;1;2;2
Anna Poropudas;Kansallinen Kokoomus;Oulu;alempi korkeakoulututkinto;1986;suomi;ruotsi, englanti;female;3;3;3;3;1;2;2;3;0;0;3;0;3;3;1;1;2;3;2;3;0;2;2;1;3
Anna Pulkkinen;Suomen Keskusta;Järvenpää;ammattitutkinto;1976;suomi;;female;1;2;2;3;3;2;1;2;1;0;1;1;3;1;2;2;2;3;1;2;1;1;1;1;2
Anna Puruskainen-saarelainen;Suomen Sosialidemokraattinen Puolue;Ilomantsi;alempi korkeakoulututkinto;1981;suomi;suomi, englanti;female;3;3;1;2;2;2;3;3;2;0;3;2;3;1;2;2;2;1;3;3;1;0;0;1;2
Anna Puupponen;Vihreä liitto;Jyväskylä;ylempi korkeakoulututkinto;1978;suomi;ruotsi, englanti;female;3;3;1;3;2;0;2;3;3;0;3;0;3;3;1;1;0;3;3;3;3;2;0;3;3
Anna Rantamäki;Vihreä liitto;Eura;alempi korkeakoulututkinto;1989;suomi;suomi, englanti;female;3;1;2;3;1;0;1;1;2;0;3;2;2;2;0;0;0;0;3;3;2;0;0;2;2
