Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;My municipality should set a maximum size for elementary school teaching groups.;It is justifiable to close down small schools to cut costs.;In my municipality, pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools.;My municipality should financially support the home care of children under the age of 3.;My municipality should attract residents with a baby allowance.;Schools and kindergartens should serve less meat.;Schools should maintain Christian traditions.;If the municipality's income and expenses must be balanced, it should be done by cutting expenses rather than raising taxes.;Capital gains should not be subject to municipal taxation.;The municipality should primarily buy services from companies that it owns.;Municipalities should help to finance regional flights.;Remote support in looking for jobs is sufficient for unemployed people in small towns.;If necessary, the municipality should expropriate private land in order to obtain land for construction.;My municipality should avoid clear-cutting in the forest areas it owns.;The municipality should prioritise construction over preserving the local nature.;My municipality should attract more industrial jobs, even if it harms the environment.;My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035.;Even sparsely populated areas of my municipality should have access to public transport to reach services.;Immigrants strengthen the vitality of my municipality.;My municipality must refuse to accept quota refugees.;My municipality should finance events that encourage interaction between different cultures.;My municipality should reduce spending on immigrant integration services.;Municipalities should compensate for the state cuts in theatre funding.;Libraries should be self-service so that my municipality can save on staff salary costs.;My municipality should show support for gender and sexual minorities by flying a Pride flag.
Jussi Maijala;Kansallinen Kokoomus;Alavus;ylempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti;male;2;2;0;1;1;1;2;2;2;1;0;1;2;0;2;2;0;2;1;3;1;1;0;0;0
Jukka Mäkelä;Suomen Kristillisdemokraatit (KD);Alavus;ylempi korkeakoulututkinto;1967;suomi;suomi, ruotsi, englanti, saksa, venäjä, viro, joku muu, ukraina;male;3;2;0;3;3;0;3;2;1;1;1;0;0;2;1;2;0;1;2;2;1;1;0;1;0
Henri Mäki-Tuuri;ALAVUS ENSIN -yhteislista;Alavus;ammattitutkinto;1974;suomi;suomi, englanti;male;3;0;0;3;2;0;3;3;2;2;0;2;0;1;2;3;0;3;0;2;1;3;0;0;0
Esa Mäki-neste;Suomen Keskusta;Alavus;alempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti;male;3;0;2;2;2;0;2;1;2;2;1;1;0;0;2;2;1;2;1;1;2;1;0;1;0
Julius Mäkiranta;Kansallinen Kokoomus;Alavus;alempi korkeakoulututkinto;2001;suomi;suomi;male;2;3;1;2;1;0;2;3;2;0;0;0;2;1;2;2;2;2;2;2;2;1;1;1;2
Hannu Puska;Suomen Keskusta;Alavus;peruskoulu;1959;suomi;suomi;male;3;2;2;3;3;1;2;3;2;3;1;0;0;2;1;2;1;2;2;2;1;2;0;1;1
Juha-pekka Siljanto;Perussuomalaiset;Alavus;ammattitutkinto;1972;suomi;suomi, ruotsi, englanti, saksa;male;2;2;1;2;3;0;2;2;2;1;0;1;0;2;1;1;0;1;1;1;1;2;1;1;1
Heikki Suopelto;Kansallinen Kokoomus;Alavus;ammattitutkinto;1981;suomi;suomi, englanti, saksa;male;3;3;0;3;2;0;3;3;3;1;1;3;0;0;2;3;0;2;0;0;0;3;0;2;0
Ilkka Tiainen;ALAVUS ENSIN -yhteislista;Alavus;alempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti, saksa;male;2;0;1;2;2;0;2;3;2;1;0;2;1;0;1;2;0;1;2;1;0;2;0;2;0
Juha Toivola;Perussuomalaiset;Alavus;ammattitutkinto;1971;suomi;suomi;male;3;0;1;2;3;0;3;3;3;3;2;1;1;0;1;2;0;2;1;0;0;1;0;1;0
Aimo Tupamäki;Perussuomalaiset;Alavus;ammattitutkinto;1949;suomi;;male;3;0;0;3;3;0;3;3;0;2;0;1;0;1;2;2;0;3;0;3;0;3;0;1;0
Aaron Tusa;Perussuomalaiset;Alavus;peruskoulu;2006;suomi;suomi, ruotsi, englanti;male;3;0;2;2;2;0;2;1;3;1;0;0;0;2;1;2;0;3;2;2;1;1;1;0;0
Janne Vainionpää;Perussuomalaiset;Alavus;ylempi korkeakoulututkinto;1981;suomi;suomi, englanti;male;3;0;1;0;3;0;2;3;0;3;0;3;1;0;2;3;0;3;3;0;1;1;0;2;1
Marko Vainionpää;Perussuomalaiset;Alavus;ammattitutkinto;1969;suomi;suomi, englanti;male;2;0;1;2;2;0;3;3;2;1;0;3;0;1;1;3;0;3;1;3;1;1;1;1;0
Jarmo Ylinen;ALAVUS ENSIN -yhteislista;Alavus;ammattitutkinto;1974;suomi;suomi, englanti;male;3;1;0;1;0;0;3;3;1;2;0;3;1;1;2;1;0;2;0;3;0;3;0;3;0
Siiri Ahopelto;Suomen Keskusta;Alajärvi;ammattitutkinto;1992;suomi;suomi, englanti;female;2;2;1;2;2;1;2;2;2;2;0;0;1;3;1;1;1;2;2;1;2;1;1;0;1
Maria Averjanov;Kansallinen Kokoomus;Alajärvi;alempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;female;2;2;1;1;2;2;0;2;2;2;0;1;1;3;2;2;0;2;2;0;2;0;2;2;1
Heli Hämäläinen;Vihreä liitto;Alajärvi;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;female;3;1;2;1;2;2;0;1;2;1;0;1;0;3;0;0;1;1;3;0;2;0;2;1;2
Helena Kallio;Suomen Keskusta;Alajärvi;ylempi korkeakoulututkinto;1965;suomi;suomi, ruotsi, englanti;female;3;1;2;2;1;0;3;1;2;3;1;0;1;2;1;1;1;2;2;0;2;1;1;1;0
Leena Kamunen;Suomen Keskusta;Alajärvi;ylempi korkeakoulututkinto;1973;suomi;suomi, englanti;female;0;1;0;2;2;0;2;2;3;2;0;1;2;1;1;1;1;2;2;1;3;0;1;2;0
Aino Kanervikkoaho-kataja;Suomen Kristillisdemokraatit (KD);Alajärvi;alempi korkeakoulututkinto;1959;suomi;suomi, ruotsi, englanti;female;3;2;1;3;3;0;3;2;2;2;1;2;2;3;0;1;0;2;2;2;2;1;1;3;0
Hanna Kaunisto;Vihreä liitto;Alajärvi;alempi korkeakoulututkinto;1978;suomi;ruotsi, englanti;female;3;2;1;1;2;1;1;1;2;2;0;1;1;3;1;1;2;1;3;0;2;0;1;2;2
Jaana Koivukoski;Kansallinen Kokoomus;Alajärvi;ylempi korkeakoulututkinto;1981;suomi;suomi, ruotsi, englanti;female;2;0;3;2;0;0;1;3;3;2;0;0;0;1;0;2;0;3;3;0;2;0;0;0;1
Eeva-Liisa Kolonen;Suomen Keskusta;Alajärvi;ylempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti, saksa;female;3;1;2;3;2;2;3;2;2;1;1;1;1;2;1;2;1;2;2;1;2;1;2;1;1
Jenni Kuisti;Vihreä liitto;Alajärvi;ylempi korkeakoulututkinto;1985;suomi;ruotsi, englanti;female;2;2;2;1;1;2;1;1;1;2;0;1;1;2;1;1;2;2;2;0;2;1;2;1;3
Tiina Kämäräinen;Suomen Kristillisdemokraatit (KD);Alajärvi;alempi korkeakoulututkinto;1972;suomi;suomi;female;3;1;3;1;2;1;3;3;0;2;0;1;1;1;1;1;1;2;2;1;1;2;1;1;0
Miia Laitinen;Perussuomalaiset;Alajärvi;ammattitutkinto;1988;suomi;suomi;female;3;0;0;3;2;0;3;2;3;2;0;0;0;0;2;2;0;2;2;2;0;2;0;0;0
Anne Matokangas;Perussuomalaiset;Alajärvi;ammattitutkinto;1969;suomi;suomi;female;3;2;0;2;2;0;3;2;2;1;1;0;1;1;2;2;0;2;2;3;2;2;0;1;0
Anne Nätynki;Suomen Kristillisdemokraatit (KD);Alajärvi;ammattitutkinto;1960;suomi;suomi, englanti;female;3;2;2;3;3;0;3;2;2;1;1;2;0;2;1;1;0;0;1;2;0;2;0;1;0
Aino-Maija Ojala;Suomen Keskusta;Alajärvi;alempi korkeakoulututkinto;1983;suomi;;female;2;1;1;2;2;1;3;2;2;2;1;0;1;2;2;1;1;2;2;2;2;1;1;2;0
Sari Palmu;Suomen Keskusta;Alajärvi;ammattitutkinto;1972;suomi;suomi, ruotsi, englanti, saksa;female;2;1;1;2;2;0;2;2;1;2;0;1;0;1;2;1;1;1;2;1;2;1;1;2;1
Saila Piri;Suomen Keskusta;Alajärvi;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti, saksa;female;2;1;1;2;1;0;3;2;2;2;0;1;1;2;1;2;1;2;2;1;2;1;1;1;1
Piia Rentola;Kansallinen Kokoomus;Alajärvi;ammattitutkinto;1978;suomi;suomi, ruotsi, englanti;female;2;2;0;3;3;0;3;2;2;2;1;0;0;2;1;1;0;1;2;2;0;1;0;0;0
Rebekka Saukko;Suomen Keskusta;Alajärvi;ylempi korkeakoulututkinto;1995;suomi;suomi, englanti;female;3;1;2;2;2;1;2;2;2;2;0;1;1;1;0;2;1;1;2;1;2;1;1;1;2
Galina Sillanpää;Perussuomalaiset;Alajärvi;ylempi korkeakoulututkinto;1936;jokin muu;suomi, englanti, venäjä;female;3;0;1;3;2;0;3;2;1;2;1;1;0;2;0;1;0;3;3;2;2;0;1;1;1
Henna Sillanpää;Kansallinen Kokoomus;Alajärvi;alempi korkeakoulututkinto;1987;suomi;suomi, englanti;female;2;1;1;2;1;1;1;2;3;2;0;0;0;2;1;0;2;2;2;1;2;1;2;1;2
Virpi Turja;Kansallinen Kokoomus;Alajärvi;ammattitutkinto;1980;suomi;englanti;female;3;2;2;3;2;1;2;3;2;3;1;1;0;2;1;1;2;2;1;1;2;2;1;2;2
Mervi Ukonmäki;Suomen Keskusta;Alajärvi;alempi korkeakoulututkinto;1975;suomi;;female;2;0;1;1;1;0;3;1;0;3;0;0;2;0;1;2;0;0;3;1;2;1;0;1;0
Anni Viitasaari .SIT;Vihreä liitto;Alajärvi;alempi korkeakoulututkinto;1989;suomi;suomi, englanti;female;3;1;2;2;1;1;3;2;1;3;0;0;0;3;1;0;1;3;2;1;2;1;1;0;1
Jukka Finnilä;Kansallinen Kokoomus;Alajärvi;peruskoulu;1970;suomi;suomi, englanti;male;2;1;1;3;2;0;3;3;3;0;0;1;0;1;0;1;1;3;2;2;1;1;0;0;0
Sami Finnilä;Suomen Keskusta;Alajärvi;ammattitutkinto;1974;suomi;;male;2;1;2;3;2;0;3;1;2;2;1;1;0;2;1;2;0;3;2;2;1;1;1;0;0
Harri Hakala;Suomen Sosialidemokraattinen Puolue;Alajärvi;ammattitutkinto;1959;suomi;suomi;male;3;1;2;3;2;1;2;1;1;2;0;0;0;3;0;1;2;2;2;1;1;1;0;0;0
Heikki Hietala;Suomen Keskusta;Alajärvi;ammattitutkinto;1978;suomi;suomi;male;2;1;2;3;3;0;3;1;2;2;1;1;2;1;2;3;0;3;2;2;2;1;0;2;0
Heikki Honko;Perussuomalaiset;Alajärvi;ammattitutkinto;1969;suomi;suomi, englanti;male;3;3;0;3;3;0;3;3;2;0;0;0;2;0;0;2;0;3;0;3;2;2;0;1;0
Jari Hämeenniemi;Perussuomalaiset;Alajärvi;ammattitutkinto;1973;suomi;;male;3;1;1;1;1;0;3;2;2;1;0;2;1;0;2;2;0;2;1;2;1;0;0;1;0
Jarmo Hänninen;Suomen Keskusta;Alajärvi;ammattitutkinto;1965;suomi;suomi;male;2;1;1;2;2;0;3;2;2;2;1;1;1;1;2;1;1;2;2;1;1;1;1;2;1
Tapio Höykinpuro;Suomen Keskusta;Alajärvi;ammattitutkinto;1958;suomi;suomi;male;2;1;2;3;1;0;3;2;2;2;2;0;0;1;2;2;0;3;1;1;2;2;0;1;0
Antti Joensuu;Suomen Keskusta;Alajärvi;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;male;2;1;1;2;2;0;2;1;2;2;1;1;2;1;2;2;0;2;2;2;2;1;0;2;1
Pentti Joensuu;Kansallinen Kokoomus;Alajärvi;ammattitutkinto;1968;suomi;suomi;male;3;2;2;3;3;0;3;3;3;0;0;1;3;1;1;3;0;2;3;0;2;1;0;0;0
Turo Kalliomaa;Kansallinen Kokoomus;Alajärvi;ylempi korkeakoulututkinto;1975;suomi;;male;2;1;0;2;2;0;2;2;2;2;0;1;1;1;1;3;0;2;2;2;2;1;1;1;0
Juha Kangas;Kansallinen Kokoomus;Alajärvi;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;male;2;2;2;0;2;2;2;3;2;1;0;2;0;1;1;1;2;2;2;1;2;1;2;0;1
Markku Kariluoma;Suomen Keskusta;Alajärvi;joku muu;1951;suomi;suomi, ruotsi, englanti;male;2;1;2;3;1;1;3;2;2;2;0;1;1;1;1;2;1;2;1;1;1;2;1;1;1
Juho Kettunen;Kansallinen Kokoomus;Alajärvi;ylempi korkeakoulututkinto;1996;suomi;suomi, englanti;male;3;2;1;3;2;1;3;3;3;2;0;2;1;1;1;1;1;2;2;0;2;0;1;1;1
Anttu Kivikangas;Suomen Keskusta;Alajärvi;ylempi korkeakoulututkinto;1991;suomi;suomi, englanti;male;3;1;1;2;2;0;2;2;2;2;1;1;2;1;0;1;1;1;2;1;2;1;1;1;0
Matti Kivipelto;Kansallinen Kokoomus;Alajärvi;peruskoulu;1984;suomi;suomi, englanti;male;2;0;0;2;2;0;2;3;3;0;0;1;0;2;0;0;1;2;2;2;1;1;1;0;0
Akseli Koskenmäki;Perussuomalaiset;Alajärvi;ammattitutkinto;2003;suomi;suomi, englanti;male;2;1;2;3;3;0;3;2;1;2;1;1;2;1;2;3;1;3;2;2;1;2;1;1;1
Kuisma Kujala;Suomen Keskusta;Alajärvi;ammattitutkinto;1953;suomi;suomi, ruotsi, englanti;male;2;2;2;1;1;1;2;2;1;1;2;2;1;3;1;2;1;3;2;1;2;1;0;2;1
Mika Kyrönlahti;Kansallinen Kokoomus;Alajärvi;alempi korkeakoulututkinto;1979;suomi;suomi, englanti;male;1;2;1;3;2;0;0;2;1;2;0;1;1;2;2;3;1;2;3;0;2;0;0;0;3
Tuomas Lahdenperä;Kansallinen Kokoomus;Alajärvi;alempi korkeakoulututkinto;1991;suomi;englanti;male;3;2;1;1;1;0;2;3;3;1;1;1;1;2;1;3;1;3;2;1;2;0;2;1;2
Markus Latvala;Perussuomalaiset;Alajärvi;ammattitutkinto;1990;suomi;suomi, englanti;male;3;1;0;2;3;1;3;2;0;2;2;0;2;3;0;0;0;2;0;2;0;2;0;0;0
Pasi Leikkari;Suomen Keskusta;Alajärvi;ylioppilas;1975;suomi;englanti;male;2;1;2;2;2;0;3;2;2;1;1;1;1;1;1;2;1;2;2;1;2;1;1;1;0
Samuli Luoma;Suomen Kristillisdemokraatit (KD);Alajärvi;peruskoulu;1989;suomi;suomi;male;2;1;0;3;2;0;3;2;2;0;0;1;1;1;1;2;0;1;1;2;1;1;0;1;0
Timo Mariapori;Suomen Keskusta;Alajärvi;ylioppilas;1967;suomi;suomi, ruotsi, englanti, saksa;male;2;1;1;2;1;0;2;2;2;2;1;1;1;1;2;2;1;2;2;1;2;1;1;2;1
Jukka Pekka Matintupa;Suomen Sosialidemokraattinen Puolue;Alajärvi;ammattitutkinto;1954;suomi;suomi;male;3;0;2;2;2;1;2;1;1;3;1;0;1;2;1;2;1;2;2;1;2;1;1;1;2
Martti Mäkitalo;Suomen Keskusta;Alajärvi;alempi korkeakoulututkinto;1959;suomi;suomi, englanti, saksa;male;3;1;2;2;1;1;3;2;1;3;0;1;1;2;0;1;0;3;3;0;2;1;0;1;0
Mauri Penninkangas;Suomen Keskusta;Alajärvi;ammattitutkinto;1952;suomi;suomi;male;2;2;1;2;2;0;3;2;2;1;0;1;0;1;2;2;1;2;2;1;2;1;0;3;0
Väinö Salomäki;Kansallinen Kokoomus;Alajärvi;ammattitutkinto;1997;suomi;suomi, englanti;male;2;1;1;3;3;0;2;3;1;3;0;2;0;1;1;2;1;2;2;2;2;1;0;2;0
Pasi Siirilä;Perussuomalaiset;Alajärvi;ammattitutkinto;1973;suomi;suomi;male;3;1;0;3;3;0;3;2;2;3;0;1;0;1;0;0;0;3;2;3;3;1;2;1;0
Markku Taini;Perussuomalaiset;Alajärvi;ammattitutkinto;1986;suomi;suomi;male;3;1;1;2;2;0;3;3;3;1;0;1;2;0;2;3;0;0;0;3;0;3;0;1;0
Veera Heinonen;Vasemmistoliitto;Asikkala;ylempi korkeakoulututkinto;1990;suomi;suomi, ruotsi, englanti;female;3;1;3;3;2;3;2;0;0;3;0;1;1;3;0;0;3;3;3;0;3;0;3;0;2
Sari Jyrkiäinen;Perussuomalaiset;Asikkala;ammattitutkinto;1973;suomi;suomi, englanti;female;2;2;2;2;2;0;3;2;2;2;1;1;1;1;2;2;1;2;0;2;1;2;0;1;0
Mari Jänisniemi-honkala;Vasemmistoliitto;Asikkala;joku muu;1964;suomi;suomi, englanti;female;3;0;2;2;2;0;2;2;2;2;1;3;0;3;0;1;1;3;1;1;1;1;1;1;1
Miia Kangas;Kansallinen Kokoomus;Asikkala;alempi korkeakoulututkinto;1975;suomi;suomi, englanti;female;0;3;0;0;0;0;3;3;3;3;0;0;0;0;0;2;0;2;3;0;2;0;0;0;0
Maarika Karjalainen;Liike Nyt;Asikkala;alempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;female;2;1;1;2;1;0;2;2;3;1;2;1;1;1;1;1;1;2;2;1;1;2;1;2;1
Riihilahti Katja irene;Kansallinen Kokoomus;Asikkala;alempi korkeakoulututkinto;1976;suomi;suomi;female;3;2;0;2;1;1;2;3;3;2;1;0;0;2;2;1;1;1;2;1;2;1;1;1;3
Hilkka Kemppi;Suomen Keskusta;Asikkala;ylempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;female;3;1;1;2;2;1;2;2;2;1;1;0;1;1;2;1;1;3;2;1;2;1;1;0;2
Saana Kunttu;Suomen Keskusta;Asikkala;ylioppilas;1982;suomi;suomi, ruotsi, englanti;female;2;0;0;1;2;0;3;1;2;2;0;1;0;3;0;1;0;3;2;2;0;2;1;0;0
Heini Laitinen;Suomen Keskusta;Asikkala;ylioppilas;2006;suomi;suomi, englanti;female;0;2;0;2;1;1;1;2;1;3;0;1;0;1;2;1;2;1;2;1;3;1;1;0;1
Anne Laukkanen;Kotikunta yhteislista;Asikkala;ammattitutkinto;1962;suomi;suomi, englanti;female;2;2;2;2;1;1;2;2;1;3;1;2;1;2;2;0;1;3;2;1;2;1;2;1;2
Heidi-elina Mantere;Perussuomalaiset;Asikkala;alempi korkeakoulututkinto;1979;suomi;suomi, englanti;female;3;0;0;1;0;0;3;2;1;2;1;0;1;2;1;2;0;3;1;3;1;2;1;1;0
Merja Palokangas-Viitanen;Kansallinen Kokoomus;Asikkala;ylioppilas;1955;suomi;suomi, ruotsi, englanti, saksa;female;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;0;2;1;1;1;1;1;0;0
Liisa Peltonen;Vasemmistoliitto;Asikkala;ylempi korkeakoulututkinto;1985;suomi;englanti;female;3;0;1;2;2;3;0;1;0;3;0;0;2;3;0;0;3;2;3;0;2;0;2;0;3
Emma Rautava;Vihreä liitto;Asikkala;ylempi korkeakoulututkinto;1989;suomi;englanti;female;2;1;1;0;1;2;0;1;2;2;0;0;1;3;0;0;3;3;3;0;2;0;1;0;3
Henna Rautavuo-Hätönen;Kotikunta yhteislista;Asikkala;alempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti;female;1;2;1;3;0;0;3;3;1;2;1;1;1;2;1;1;1;2;2;1;1;1;1;1;1
Sarita Saloheimo;Kansallinen Kokoomus;Asikkala;alempi korkeakoulututkinto;1925;suomi;suomi, ruotsi, englanti;female;3;1;0;1;0;0;3;1;2;1;0;1;0;3;0;0;0;3;2;3;0;1;1;2;0
Sini Sipponen;Suomen Keskusta;Asikkala;ammattitutkinto;1993;suomi;suomi, englanti;female;3;0;2;1;2;1;1;1;2;3;1;0;0;1;1;1;1;3;2;1;2;1;1;1;2
Tarja Tornio;Suomen Keskusta;Asikkala;alempi korkeakoulututkinto;1954;suomi;suomi, englanti;female;3;0;0;3;2;2;0;1;1;1;1;0;0;0;0;0;2;2;3;0;2;0;0;2;0
Veera Varjola;Kotikunta yhteislista;Asikkala;ylempi korkeakoulututkinto;1981;suomi;suomi, ruotsi, englanti, joku muu;female;2;2;2;1;1;1;2;2;2;1;0;2;0;2;0;0;0;1;2;2;1;1;0;1;0
Terhi Vesterinen;Vihreä liitto;Asikkala;ylempi korkeakoulututkinto;1958;suomi;suomi, ruotsi, englanti, saksa;female;3;2;2;1;1;3;0;1;1;3;0;0;1;3;0;0;3;2;3;0;3;1;1;2;2
Juha Hyttinen;Kansallinen Kokoomus;Asikkala;ammattitutkinto;1964;suomi;suomi, englanti;male;3;3;1;0;2;0;2;3;0;3;0;0;1;2;1;0;0;3;1;2;2;1;1;0;0
Viljanen Ilkka antero;Kansallinen Kokoomus;Asikkala;ammattitutkinto;1960;suomi;suomi, ruotsi, englanti;male;2;2;0;2;1;0;3;2;2;1;0;2;0;1;1;1;1;2;2;1;1;1;1;2;0
Sampsa Ilmonen;Kansallinen Kokoomus;Asikkala;alempi korkeakoulututkinto;1984;suomi;suomi;male;2;2;1;3;1;1;3;2;2;2;0;0;0;3;0;1;0;1;1;2;2;1;2;0;0
Petri Jokinen;Kansallinen Kokoomus;Asikkala;ylioppilas;1963;suomi;suomi, ruotsi, englanti, espanja;male;2;2;1;1;1;0;3;2;3;1;1;2;1;1;1;3;0;2;0;3;0;3;0;1;0
Jukka Julin;Kansallinen Kokoomus;Asikkala;ammattitutkinto;1966;suomi;suomi;male;3;1;1;1;0;2;1;2;1;3;1;3;1;3;2;1;3;2;2;0;2;1;1;1;2
Risto Kailaniemi;Perussuomalaiset;Asikkala;alempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti, saksa;male;2;0;1;1;1;0;3;2;2;2;2;1;1;0;1;3;0;2;2;3;1;2;0;1;0
Kari Kallio;Suomen Kristillisdemokraatit (KD);Asikkala;ylempi korkeakoulututkinto;1951;suomi;suomi, ruotsi, englanti;male;2;1;1;2;3;1;3;2;2;2;1;1;1;2;1;1;1;2;2;1;2;2;2;1;0
Kari Karjalainen;Suomen Keskusta;Asikkala;ylempi korkeakoulututkinto;1955;suomi;suomi, ruotsi, englanti, venäjä, joku muu;male;3;1;1;2;2;1;3;0;0;2;1;1;0;2;0;1;3;3;2;1;1;0;1;0;0
Kari Kilpinen;Vihreä liitto;Asikkala;ylempi korkeakoulututkinto;1955;suomi;suomi, ruotsi, englanti, saksa;male;3;1;2;2;2;2;2;1;2;1;0;1;1;3;1;1;3;2;2;1;2;1;2;1;2
Leevi Kivistö;Kansallinen Kokoomus;Asikkala;ammattitutkinto;2001;suomi;suomi;male;2;2;2;2;2;0;2;2;2;2;1;1;1;0;2;2;1;0;1;2;1;2;1;1;0
Valtteri Kurki;Vasemmistoliitto;Asikkala;alempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;male;2;1;1;2;3;1;0;1;1;3;0;2;0;3;0;1;2;2;2;0;2;1;1;2;2
Jani Kurtelius;Kansallinen Kokoomus;Asikkala;ylempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti;male;3;1;2;3;3;1;1;2;3;2;0;0;2;3;0;0;2;1;3;0;2;0;2;0;2
Vilho Laakso;Kansallinen Kokoomus;Asikkala;alempi korkeakoulututkinto;1953;suomi;suomi, ruotsi, englanti;male;1;3;1;0;0;0;3;3;3;2;2;3;0;0;3;3;0;2;1;3;0;2;0;1;0
Martti Lehto;Kansallinen Kokoomus;Asikkala;ylempi korkeakoulututkinto;1943;suomi;suomi, ruotsi, englanti;male;2;2;2;2;1;1;2;3;2;3;2;0;1;3;0;1;1;1;1;0;1;0;2;2;0
Ari- Lindeberg;Suomen Keskusta;Asikkala;ammattitutkinto;1967;suomi;suomi;male;2;1;2;1;1;1;1;1;1;1;1;2;1;2;1;1;2;2;1;1;1;2;1;1;1
Yrjö Mattila;Suomen Sosialidemokraattinen Puolue;Asikkala;ylempi korkeakoulututkinto;1947;suomi;suomi, ruotsi, englanti, kiina;male;3;2;1;2;2;1;1;0;0;2;2;1;2;3;1;1;1;2;2;0;3;0;2;0;1
Pasi Murto;Suomen Keskusta;Asikkala;ammattitutkinto;1964;suomi;suomi;male;3;1;1;3;2;0;2;2;1;0;2;1;2;2;1;0;1;3;2;0;2;1;0;1;0
Roni-eemil Norrbacka;Kansallinen Kokoomus;Asikkala;ylioppilas;2005;suomi;suomi, ruotsi, englanti;male;2;2;0;2;0;0;2;2;3;1;0;1;0;2;1;2;2;1;2;2;2;1;1;1;1
Jorma Petäys;Kansallinen Kokoomus;Asikkala;ammattitutkinto;1970;suomi;englanti;male;2;2;0;1;1;1;1;2;2;2;1;2;1;2;0;1;1;2;1;1;1;2;1;1;0
Sami Polvela;Kotikunta yhteislista;Asikkala;alempi korkeakoulututkinto;1973;suomi;suomi, ruotsi, englanti, saksa;male;2;1;2;2;3;1;3;2;3;1;0;1;1;3;1;0;1;3;2;1;1;1;1;1;0
Mika Rantala;Kansallinen Kokoomus;Asikkala;joku muu;1973;suomi;suomi, ruotsi, englanti, saksa;male;1;2;0;0;0;1;1;3;1;0;3;1;1;2;0;2;1;2;3;1;1;1;2;2;0
Juha Rautava;Kansallinen Kokoomus;Asikkala;ammattitutkinto;1970;suomi;suomi, englanti;male;3;3;2;3;2;0;3;0;0;0;2;0;1;0;2;2;0;1;2;1;3;1;0;0;0
Tuomo-tapani Riihilahti;Kansallinen Kokoomus;Asikkala;alempi korkeakoulututkinto;1972;suomi;suomi, englanti;male;2;2;1;2;0;0;2;3;3;1;2;1;1;0;1;1;0;1;2;2;1;2;0;1;1
Markku Salomaa;Perussuomalaiset;Asikkala;joku muu;1962;suomi;suomi, englanti;male;1;3;0;3;2;0;2;3;3;1;0;2;2;3;2;0;0;2;0;3;0;3;1;2;0
Tuomo Sarena;Kansallinen Kokoomus;Asikkala;peruskoulu;1966;suomi;;male;2;2;1;2;1;0;2;3;2;3;2;1;0;0;2;1;2;3;2;1;0;1;1;1;0
Kari Savola;Suomen Keskusta;Asikkala;ammattitutkinto;1962;suomi;suomi;male;1;2;1;1;1;1;2;2;2;2;1;2;1;2;1;1;2;2;2;1;1;1;0;2;0
Toni Seppälä;Perussuomalaiset;Asikkala;ammattitutkinto;1975;suomi;suomi, englanti;male;3;1;0;3;3;0;3;2;1;3;3;0;1;3;1;2;0;3;0;3;0;3;1;0;0
Hannu Siivonen;Vasemmistoliitto;Asikkala;ammattitutkinto;1982;suomi;englanti;male;3;0;3;3;0;3;2;0;0;3;0;2;0;3;0;0;3;3;3;0;3;0;2;0;3
Jukka Sällinen;Suomen Keskusta;Asikkala;ammattitutkinto;1963;suomi;suomi, ruotsi, englanti;male;2;0;3;2;2;2;1;1;2;2;0;2;1;3;0;0;2;2;2;1;2;1;1;1;2
Reko Tupala;Suomen Keskusta;Asikkala;joku muu;1977;suomi;suomi, englanti;male;2;1;2;1;0;1;1;2;1;2;0;2;0;0;1;1;1;2;2;1;1;2;0;0;1
Heikki Vahto;Suomen Keskusta;Asikkala;alempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti;male;2;2;1;2;1;0;3;2;2;1;2;0;0;0;1;1;0;3;3;1;1;1;0;1;0
Rami Virlander;Vihreä liitto;Asikkala;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti;male;2;1;2;2;2;2;2;1;2;2;1;1;1;3;1;1;2;3;3;0;2;0;2;1;3
Immo Virtanen;Kotikunta yhteislista;Asikkala;ammattitutkinto;1958;suomi;suomi, englanti;male;1;2;1;2;0;1;3;1;3;0;0;0;1;1;2;2;0;2;2;0;1;1;0;1;1
Markku Vuorio;Vihreä liitto;Asikkala;ylempi korkeakoulututkinto;1958;suomi;suomi, ruotsi, englanti;male;2;1;2;2;2;2;2;1;1;1;0;0;2;3;1;1;2;3;2;1;2;0;1;0;2
