Name,Party,Municipality,Education,Year of birth,Language,Gender,My municipality should set a maximum size for elementary school teaching groups,It is justifiable to close down small schools to cut costs,In my municipality pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools,My municipality should financially support the home care of children under the age of 3,My municipality should attract residents with a baby allowance,Schools and kindergartens should serve less meat,Schools should maintain Christian traditions,If the municipality's income and expenses must be balanced it should be done by cutting expenses rather than raising taxes,Capital gains should not be subject to municipal taxation,The municipality should primarily buy services from companies that it owns,Municipalities should help to finance regional flights,Remote support in looking for jobs is sufficient for unemployed people in small towns,If necessary the municipality should expropriate private land in order to obtain land for construction,My municipality should avoid clear-cutting in the forest areas it owns,The municipality should prioritise construction over preserving the local nature,My municipality should attract more industrial jobs even if it harms the environment,My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035,Even sparsely populated areas of my municipality should have access to public transport to reach services,Immigrants strengthen the vitality of my municipality,My municipality must refuse to accept quota refugees,My municipality should finance events that encourage interaction between different cultures,My municipality should reduce spending on immigrant integration services,Municipalities should compensate for the state cuts in theatre funding,Libraries should be self-service so that my municipality can save on staff salary costs,My municipality should show support for gender and sexual minorities by flying a Pride flag
Marko Vainionpää,PS,Alavus,ammattitutkinto,1969,suomi,male,2,0,1,2,2,0,3,3,2,1,0,3,0,1,1,3,0,3,1,3,1,1,1,1,0
Jarmo Ylinen,Sit,Alavus,ammattitutkinto,1974,suomi,male,3,1,0,1,0,0,3,3,1,2,0,3,1,1,2,1,0,2,0,3,0,3,0,3,0
Ritva Haasanen,KD,Askola,alempi korkeakoulututkinto,1955,suomi,female,3,0,2,1,2,2,3,2,1,2,0,0,0,3,0,1,0,3,2,0,2,0,0,2,0
Hanna-Mari Hakola-Riihisaari,Kok.,Askola,alempi korkeakoulututkinto,1984,suomi,female,2,1,2,3,1,0,1,2,2,2,1,2,1,1,1,1,1,3,1,1,3,2,0,2,1
Tanja Inkiläinen,PS,Askola,ammattitutkinto,1992,suomi,female,3,0,1,1,1,1,1,2,1,2,0,0,0,2,2,2,1,2,2,2,1,1,0,1,2
Rauna Kiiskinen,Kesk.,Askola,alempi korkeakoulututkinto,1969,suomi,female,2,1,3,3,2,1,3,1,3,0,1,0,0,1,1,2,1,3,2,0,3,1,0,1,0
Vilma-maria Kilpeläinen,Sit,Askola,ammattitutkinto,1983,suomi,female,3,0,0,2,2,0,2,1,2,2,1,1,2,1,1,2,1,3,1,0,2,0,1,1,0
Riitta Koivisto,SDP,Askola,ammattitutkinto,1969,suomi,female,3,1,3,3,1,1,2,1,1,2,2,0,1,3,0,1,2,3,2,0,2,1,2,1,2
Taija Kämäräinen,Kok.,Askola,ylempi korkeakoulututkinto,1980,suomi,female,3,0,1,3,1,0,2,2,2,2,0,0,0,2,1,1,0,2,3,2,2,1,0,2,2
Anne Lampinen,Kok.,Askola,ammattitutkinto,1960,suomi,female,3,0,3,3,3,1,1,2,2,0,0,0,1,2,1,1,1,2,2,0,2,0,1,3,2
Marita Lehmusvuori,KD,Askola,alempi korkeakoulututkinto,1964,suomi,female,3,0,3,3,1,0,3,3,2,1,0,0,0,3,0,1,0,1,0,1,1,1,1,3,0
Petra Lind,RKP,Askola,ylempi korkeakoulututkinto,1975,ruotsi,female,2,1,2,1,2,2,1,2,1,2,0,1,2,3,1,1,1,2,2,0,2,2,1,1,2
Maria Mastokangas,Kok.,Askola,ammattitutkinto,1983,suomi,female,3,2,2,1,2,0,0,1,2,2,1,1,1,1,1,1,2,3,0,1,0,3,1,3,1
Mia Myllys,Kok.,Askola,ammattitutkinto,1972,suomi,female,2,1,2,2,1,0,3,2,2,2,2,1,1,1,1,2,0,1,2,2,1,2,0,2,0
Jenny Nyholm,Kok.,Askola,ylioppilas,1998,suomi,female,2,1,1,3,2,0,2,3,3,0,0,0,0,3,0,0,0,1,2,1,1,1,1,2,2
Hanna Simola,SDP,Askola,ylempi korkeakoulututkinto,1989,suomi,female,2,1,3,3,2,2,1,1,1,2,1,1,1,3,0,1,3,1,2,0,2,0,0,2,2
Reija-riikka Stenbäck,Vihr.,Askola,ylempi korkeakoulututkinto,1971,suomi,female,3,0,3,3,1,2,0,1,0,3,0,2,1,3,0,0,3,2,3,0,3,0,2,2,3
Pia Sääski,Vas.,Askola,ylempi korkeakoulututkinto,1972,suomi,female,3,0,3,1,0,2,2,0,0,3,1,0,1,3,0,0,1,3,3,0,3,0,1,0,3
Tuija Terni,Sit,Askola,ammattitutkinto,1966,suomi,female,3,1,2,3,2,3,0,1,1,2,1,2,0,2,1,1,2,2,3,1,2,1,2,1,0
Åsa Tietäväinen,Kok.,Askola,joku muu,1978,ruotsi,female,2,2,2,2,2,1,2,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1
Tero Aaltonen,Vas.,Askola,ammattitutkinto,1977,suomi,male,3,0,1,3,1,1,2,1,1,2,0,1,0,2,1,0,1,3,1,2,0,1,0,2,2
Mika Ahonen,SDP,Askola,ylempi korkeakoulututkinto,1970,suomi,male,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,0,1,1,1
Mika Eronen,SDP,Askola,ammattitutkinto,1973,suomi,male,3,0,2,2,3,0,3,2,0,3,0,0,0,3,0,0,3,3,3,0,0,0,0,1,3
Ari Forsberg,Kok.,Askola,alempi korkeakoulututkinto,1955,suomi,male,2,0,2,2,1,1,3,2,1,0,2,0,1,1,1,1,2,2,2,1,2,1,1,3,1
Riku Honkasalo,Kok.,Askola,ylempi korkeakoulututkinto,1973,suomi,male,3,0,2,3,2,2,3,2,3,2,0,1,0,3,1,2,1,2,2,2,2,1,1,2,2
Veikka Huuskonen,SDP,Askola,ylempi korkeakoulututkinto,1995,suomi,male,3,0,2,2,1,1,2,1,2,2,2,1,1,3,1,0,2,2,2,2,2,0,2,1,2
Jarkko Inkeroinen,Kok.,Askola,alempi korkeakoulututkinto,1971,suomi,male,2,1,2,2,1,0,3,3,3,2,2,0,2,2,0,3,0,0,2,0,2,0,1,2,0
Matti Jäppilä,PS,Askola,alempi korkeakoulututkinto,1970,suomi,male,2,1,2,0,2,0,3,3,3,3,0,2,0,0,3,3,0,0,0,3,1,3,0,3,0
Jarkko Lehtonen,Kok.,Askola,ammattitutkinto,1961,suomi,male,2,1,3,3,2,0,2,3,3,0,1,0,1,0,1,2,0,3,3,0,2,0,1,3,2
Christian Liukkonen,Kok.,Askola,peruskoulu,2006,suomi,male,2,1,2,2,1,0,2,2,2,1,0,0,2,1,2,1,1,3,2,2,3,1,0,0,2
Mikko Maukonen,Kok.,Askola,alempi korkeakoulututkinto,1980,suomi,male,3,1,1,2,0,1,2,2,2,2,1,1,0,2,1,1,1,1,1,2,1,1,1,2,1
Aarne-erik Määttä,Kok.,Askola,ammattitutkinto,1976,suomi,male,2,1,1,2,2,0,3,3,3,1,0,3,0,0,2,2,0,1,1,2,2,2,0,1,0
Jouko Pihlaja,Kok.,Askola,ammattitutkinto,1955,suomi,male,2,3,0,2,0,0,2,3,3,2,0,0,1,0,1,2,0,0,0,3,0,3,0,3,0
Joutsi Rumpunen,PS,Askola,alempi korkeakoulututkinto,1960,suomi,male,3,2,1,0,3,0,2,2,2,3,0,3,2,1,1,1,0,2,2,3,1,1,0,2,0
Tero Suominen,Kok.,Askola,ammattitutkinto,1965,suomi,male,3,0,2,3,2,2,1,3,3,1,0,1,1,2,2,2,0,3,2,2,2,2,1,3,0
Ville Suominen,Kok.,Askola,ammattitutkinto,2001,suomi,male,2,2,1,1,1,1,2,1,1,0,0,2,1,2,0,0,0,1,2,0,1,1,0,2,0
Kari Tuovinen,Kok.,Askola,ylempi korkeakoulututkinto,1961,suomi,male,2,1,2,2,0,0,3,3,3,1,0,1,2,3,1,0,1,2,3,0,1,0,1,2,0
Sami Vihuri,SDP,Askola,ammattitutkinto,1975,suomi,male,3,2,0,2,1,0,2,2,1,2,2,1,1,3,2,1,1,2,2,2,1,1,1,2,1
Mika Väinölä,Kok.,Askola,alempi korkeakoulututkinto,1979,suomi,male,3,2,2,2,2,1,2,3,2,2,0,1,1,2,1,1,2,1,2,1,2,2,1,2,1
Niina Aarnio,SDP,Aura,ylioppilas,1970,suomi,female,2,2,2,1,2,1,2,1,1,2,2,0,2,2,1,1,1,2,2,1,2,1,1,0,2
Anna-Mari Alkio,Kok.,Aura,ylempi korkeakoulututkinto,1983,suomi,female,2,2,1,1,1,0,2,3,2,1,0,1,2,2,1,2,0,1,3,2,1,1,0,2,2
Johanna Hörkkö,Kesk.,Aura,ylempi korkeakoulututkinto,1986,suomi,female,3,1,3,3,1,3,2,3,2,2,2,0,2,3,0,2,2,2,3,0,3,0,3,0,1
Maiju Joutsimies,Kok.,Aura,alempi korkeakoulututkinto,1982,suomi,female,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,1,2,1,1,1,2
Krista Kankare,Kok.,Aura,peruskoulu,1972,suomi,female,2,2,3,1,2,0,3,2,1,3,0,2,0,2,1,2,1,2,0,3,0,2,2,0,0
Liisa Laakso,Kesk.,Aura,alempi korkeakoulututkinto,1983,suomi,female,2,0,3,3,0,1,1,3,3,1,0,0,1,3,0,1,0,3,3,0,0,1,0,1,0
Sini Lammela,Kesk.,Aura,ammattitutkinto,1988,suomi,female,2,0,1,3,1,0,2,2,1,3,1,1,0,1,2,1,1,2,1,1,1,1,1,1,3
Anneli Lehtimäki,Kok.,Aura,ylempi korkeakoulututkinto,1966,suomi,female,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1
Taina Moisala,Kok.,Aura,ammattitutkinto,1960,suomi,female,2,0,2,2,1,0,2,1,1,1,1,0,0,1,1,2,1,2,1,2,2,0,1,1,0
Jenna Mäkelä,KD,Aura,alempi korkeakoulututkinto,1985,suomi,female,3,1,1,2,1,1,3,2,1,2,1,1,1,1,1,2,0,1,2,1,0,1,0,2,0
Lena Müller-salonen,SDP,Aura,ylioppilas,1968,suomi,female,2,1,2,2,2,1,2,1,2,2,2,1,1,3,0,1,2,1,2,1,1,0,0,0,2
Tanja Puotsaari,Vas.,Aura,ammattitutkinto,1979,suomi,female,3,0,0,3,1,0,1,1,3,3,0,1,0,3,0,1,2,2,3,0,1,0,1,0,3
Jenni Päätalo,Vas.,Aura,alempi korkeakoulututkinto,1978,suomi,female,2,0,0,2,0,3,0,2,3,3,0,2,0,3,0,0,2,1,3,0,3,0,1,0,3
Heidi Rajakangas,SDP,Aura,alempi korkeakoulututkinto,1980,suomi,female,2,1,0,1,0,0,2,2,0,2,0,1,0,2,1,1,1,1,1,2,0,1,0,0,1
Päivi Ryösä,Kesk.,Aura,ammattitutkinto,1978,suomi,female,2,1,1,2,1,0,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,1,0
Taru Sahla,Kesk.,Aura,alempi korkeakoulututkinto,1972,suomi,female,3,0,1,0,2,2,2,3,2,2,0,0,3,2,0,0,2,1,2,0,2,0,1,0,1
Niina Örn,Kesk.,Aura,ylempi korkeakoulututkinto,1988,suomi,female,3,0,2,1,0,1,2,1,2,1,0,0,0,3,0,1,1,1,2,1,2,0,2,2,2
Jarkko Granat,PS,Aura,ammattitutkinto,1988,suomi,male,2,0,3,2,2,0,2,3,1,2,0,1,1,2,1,3,1,3,0,3,1,2,1,0,2
Vesa Hakamäki,SDP,Aura,ylioppilas,1986,suomi,male,3,1,3,2,2,2,0,0,0,3,0,0,2,3,0,0,3,0,3,0,3,0,0,0,3
Janne Ilmalahti,Kesk.,Aura,alempi korkeakoulututkinto,1982,suomi,male,2,0,2,2,2,1,3,2,2,2,0,1,2,0,2,2,0,3,2,1,1,1,1,2,0
Kalle Isotalo,Kok.,Aura,ylempi korkeakoulututkinto,1981,suomi,male,0,1,2,0,0,0,2,3,3,0,0,0,2,3,2,2,1,2,3,3,1,0,0,3,2
Hannu Jalava,SDP,Aura,ammattitutkinto,1972,suomi,male,3,0,2,2,1,1,0,1,2,2,0,0,1,2,1,0,2,3,2,1,1,1,0,0,1
Pasi Kullanmäki,Kok.,Aura,alempi korkeakoulututkinto,1971,suomi,male,3,2,2,1,0,1,2,3,3,3,0,2,0,0,0,1,2,1,3,0,2,0,1,0,1
Jukka Leino,SDP,Aura,ammattitutkinto,1959,suomi,male,2,2,2,1,2,1,1,2,1,2,2,1,2,3,1,1,1,1,2,1,2,1,1,1,2
Ismo Litva,Kesk.,Aura,alempi korkeakoulututkinto,1954,suomi,male,2,1,2,1,2,1,1,2,1,1,2,1,2,3,1,2,2,2,2,1,2,0,2,2,1
Grof Mauri ilmari henrik,PS,Aura,joku muu,1949,suomi,male,2,0,1,3,3,1,3,1,0,3,1,0,2,2,1,1,0,2,1,3,0,3,0,1,0
Ralf Nordström,PS,Aura,ammattitutkinto,1978,suomi,male,2,2,1,2,1,0,0,2,2,2,1,2,0,2,1,2,0,1,1,1,1,1,0,2,1
Tommi Pasto,Kok.,Aura,alempi korkeakoulututkinto,1976,suomi,male,1,2,2,1,0,2,1,3,2,1,0,0,2,3,0,1,0,0,2,2,1,1,0,1,2
Matti Pöysti,SDP,Aura,ammattitutkinto,1966,suomi,male,0,2,3,3,3,0,3,0,2,2,2,0,1,0,2,3,0,2,3,0,0,2,0,1,0
Kalle Simola,PS,Aura,ammattitutkinto,1976,suomi,male,3,1,1,2,2,0,2,2,1,2,0,1,1,2,1,1,1,2,1,2,0,2,0,0,0
Jari Sinisalo,Vas.,Aura,alempi korkeakoulututkinto,1977,suomi,male,2,0,0,3,1,2,0,0,3,3,0,1,1,3,0,0,2,2,3,0,1,0,1,2,3
Jouko Vuohijoki,Kok.,Aura,ammattitutkinto,1987,suomi,male,2,2,0,2,2,1,3,1,2,2,1,0,2,1,2,2,0,1,1,2,1,1,1,2,0
Jouko Vähä-Rahka,Kesk.,Aura,ylempi korkeakoulututkinto,1966,suomi,male,2,2,2,1,0,1,1,3,2,2,1,0,1,3,0,0,3,2,2,1,2,1,1,2,0
Juhani Yli-pohja,SDP,Aura,joku muu,1963,suomi,male,2,2,2,3,1,0,2,2,2,3,0,1,2,2,1,1,1,2,1,1,1,1,0,2,1
Susan Eerikinharju,SDP,Akaa,ammattitutkinto,1978,suomi,female,3,1,1,3,1,1,2,2,1,3,0,0,0,1,2,1,1,2,2,1,1,2,2,1,3
Heli Einola-virtanen,PS,Akaa,joku muu,1986,suomi,female,3,0,1,2,1,0,3,2,1,2,1,1,1,1,1,3,0,3,0,3,0,3,1,2,0
Virpi Eskola,Kesk.,Akaa,joku muu,1971,suomi,female,2,0,1,2,1,1,2,2,1,2,2,0,0,1,1,1,1,2,2,1,2,0,1,1,0
Sirkku Helin,PS,Akaa,joku muu,1977,suomi,female,3,2,0,0,0,0,2,3,0,2,0,0,2,3,2,2,0,1,2,3,0,0,0,0,0
Mia-marianne Joki,KD,Akaa,ylioppilas,1975,suomi,female,3,0,1,3,1,0,3,2,0,2,1,0,0,1,1,2,0,2,1,2,0,2,0,1,0
Susanna Kilpinen,SDP,Akaa,alempi korkeakoulututkinto,1984,suomi,female,2,1,0,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2
Mira Kivi,Vas.,Akaa,ammattitutkinto,1996,suomi,female,3,2,2,3,2,3,0,1,0,2,0,0,1,3,0,1,3,3,3,0,3,0,2,0,3
Kati Koivula,Vihr.,Akaa,joku muu,1969,suomi,female,3,1,3,2,0,2,0,1,0,1,0,1,2,3,0,0,3,3,3,0,3,0,3,0,3
Jaana Koivuniemi .SIT,Kok.,Akaa,ylempi korkeakoulututkinto,1981,suomi,female,2,3,1,1,0,2,1,3,3,1,0,0,0,3,0,0,3,1,3,1,1,0,1,1,3
Katri Kuusisto,Vihr.,Akaa,ylempi korkeakoulututkinto,1981,suomi,female,1,1,1,0,1,2,0,1,1,2,0,0,1,3,0,1,3,2,3,0,3,0,2,0,3
Anne Lehtonen,Vihr.,Akaa,alempi korkeakoulututkinto,1986,suomi,female,2,1,2,1,1,3,0,2,1,1,0,1,1,3,0,0,3,2,2,1,1,1,1,1,2
Sanna-leena Linna,Kok.,Akaa,ylempi korkeakoulututkinto,1981,suomi,female,3,1,1,3,2,2,2,3,2,2,0,1,1,2,1,2,1,2,2,1,1,1,1,1,2
Inka Loppi,SDP,Akaa,joku muu,1974,suomi,female,2,1,1,1,1,1,2,2,1,1,1,0,1,2,0,1,2,2,2,1,1,1,2,1,3
Venla Moisala,Vihr.,Akaa,ylempi korkeakoulututkinto,1986,suomi,female,3,1,1,2,2,2,0,1,0,2,0,0,2,3,0,0,2,3,3,0,3,0,1,1,3
Majka Nurminen,Vihr.,Akaa,ammattitutkinto,1978,suomi,female,3,0,2,2,2,3,0,1,0,3,1,0,0,3,0,0,3,3,3,0,3,0,3,0,3
Susanna Parviainen,Kesk.,Akaa,alempi korkeakoulututkinto,1971,suomi,female,3,1,2,2,1,2,2,2,2,2,1,1,0,2,1,2,0,3,0,3,1,3,1,1,0
Ninni Pehkonen,Vihr.,Akaa,ylempi korkeakoulututkinto,1980,suomi,female,3,1,2,1,1,3,1,1,1,1,0,1,1,3,0,0,2,2,3,0,3,0,2,0,3
Mari Perttola,Vas.,Akaa,ammattitutkinto,1983,suomi,female,3,0,1,2,2,3,0,0,0,2,0,0,0,3,0,0,3,3,3,0,3,0,3,0,3
Heli Piirainen,Vas.,Akaa,ylempi korkeakoulututkinto,1974,suomi,female,3,1,3,2,1,1,2,1,1,2,1,1,2,2,0,0,2,2,2,0,2,0,2,1,3
Pauliina Pohjonen,Vihr.,Akaa,ylempi korkeakoulututkinto,1984,suomi,female,3,1,0,1,0,2,1,2,1,1,0,0,1,3,0,0,2,2,3,0,2,0,1,0,3
Janita Puomila,Kok.,Akaa,alempi korkeakoulututkinto,1983,suomi,female,3,2,0,1,1,0,2,3,3,0,0,1,2,1,2,2,1,2,1,1,1,1,1,3,1
Terhi Rajala,Kok.,Akaa,ylempi korkeakoulututkinto,1977,suomi,female,3,2,1,1,1,2,1,2,2,1,2,3,2,1,1,2,2,1,1,0,1,1,0,0,1
Virpi Rantala,Kok.,Akaa,ammattitutkinto,1970,suomi,female,3,1,3,1,1,0,3,3,2,3,0,2,0,2,0,0,2,3,2,1,2,2,2,0,2
Saija Roininen,SDP,Akaa,ammattitutkinto,1977,suomi,female,3,0,1,3,1,0,2,1,1,2,0,0,2,2,1,1,2,3,2,1,2,1,1,1,3
Elina Talonen,PS,Akaa,ammattitutkinto,1970,suomi,female,1,1,1,3,2,0,3,2,2,1,2,3,2,2,2,2,0,1,0,3,0,3,1,2,0
Aila Toivonen,Vas.,Akaa,ammattitutkinto,1962,suomi,female,2,0,2,2,2,0,3,2,0,3,1,0,0,2,2,1,2,3,2,1,2,1,2,0,2
Maija Toivonen,Kok.,Akaa,ylempi korkeakoulututkinto,1973,suomi,female,3,2,0,2,0,2,3,3,2,2,0,2,3,3,0,1,1,1,2,0,1,2,1,1,1
Janina Tuominen,Vas.,Akaa,ylioppilas,1990,suomi,female,3,1,2,3,1,2,2,1,1,2,1,2,1,2,0,2,2,2,3,0,2,1,1,1,3
Laura Väisänen,Vihr.,Akaa,ylempi korkeakoulututkinto,1987,suomi,female,3,1,2,1,1,3,1,1,1,2,1,1,0,3,1,1,2,2,2,0,2,0,1,0,3
Mari Yli-Koivisto,Kok.,Akaa,ylempi korkeakoulututkinto,1974,suomi,female,3,1,1,1,0,2,2,3,3,2,0,0,1,2,0,1,2,2,3,0,1,0,1,0,3
Sami Ahola,SDP,Akaa,joku muu,1974,suomi,male,3,1,1,1,2,0,2,1,1,1,0,0,1,1,2,3,1,2,1,2,1,2,0,0,0
Jukka Aimolahti,Kok.,Akaa,ylioppilas,1989,suomi,male,3,1,1,2,0,0,2,3,1,0,0,2,0,2,1,2,0,2,2,0,0,1,0,2,0
Janne Blommendahl,VL,Akaa,ylempi korkeakoulututkinto,1973,suomi,male,3,1,1,2,1,0,3,3,3,2,0,2,0,1,2,2,0,3,1,2,1,2,1,2,0
Tommi Eskola,Vihr.,Akaa,ylempi korkeakoulututkinto,1989,suomi,male,3,1,2,1,0,3,1,1,2,1,0,1,0,3,1,0,3,2,3,0,2,0,2,0,3
Joona Hiltunen,SDP,Akaa,ammattitutkinto,2005,suomi,male,2,2,2,1,0,1,2,3,3,3,0,1,0,3,2,2,2,1,2,1,2,1,2,2,1
Juhani Jara,Vas.,Akaa,ylioppilas,1958,suomi,male,3,1,1,2,1,1,2,1,1,3,0,0,2,3,1,2,1,3,2,1,2,1,2,0,2
Joonas Juntunen,Kok.,Akaa,ylempi korkeakoulututkinto,1996,suomi,male,2,2,1,2,1,1,2,3,1,2,1,2,1,2,1,2,1,1,2,2,1,1,0,1,2
Hannu Järvinen,SDP,Akaa,ammattitutkinto,1968,suomi,male,2,2,0,1,1,0,1,1,0,3,0,1,1,2,2,2,1,1,1,1,1,1,1,1,3
Tapio Kivistö,PS,Akaa,ammattitutkinto,1959,suomi,male,3,1,2,2,2,0,3,2,3,3,0,0,0,2,2,3,0,1,1,3,0,2,1,3,0
Tomi Koistinen,Kok.,Akaa,ylempi korkeakoulututkinto,1972,suomi,male,3,2,2,0,0,3,3,3,3,0,0,0,1,3,1,0,2,2,3,1,2,0,2,2,3
Jari Laihia,Vas.,Akaa,ylempi korkeakoulututkinto,1964,suomi,male,3,0,3,1,0,3,0,0,0,0,0,0,3,2,0,0,3,3,3,0,3,0,0,0,3
Jaakko Leinonen,Kok.,Akaa,ylempi korkeakoulututkinto,1977,suomi,male,2,2,3,3,2,1,2,3,2,0,0,0,2,1,3,3,2,2,2,2,2,2,0,2,2
Mika Lohi,Vas.,Akaa,ammattitutkinto,1981,suomi,male,3,1,3,3,2,1,0,0,0,3,0,0,2,3,0,1,2,3,2,0,3,0,2,0,3
Antti Maijala,Vas.,Akaa,ylioppilas,1983,suomi,male,3,1,2,3,0,1,1,0,1,2,0,0,2,2,1,2,0,3,3,1,2,1,2,1,3
Aki Moisio,SDP,Akaa,ammattitutkinto,1972,suomi,male,3,1,2,1,1,2,0,1,0,2,1,0,2,2,1,2,1,2,3,0,1,0,2,1,3
Anton Murola,PS,Akaa,ylioppilas,1978,suomi,male,2,0,2,2,2,0,3,2,3,0,0,2,0,0,1,3,0,1,2,1,0,3,1,0,0
Tero Mäki,PS,Akaa,joku muu,1976,suomi,male,2,0,0,1,1,0,3,3,2,2,2,1,1,1,2,2,0,2,0,3,2,3,1,1,0
Valtteri Mönkö,Vas.,Akaa,ylioppilas,2001,suomi,male,3,1,3,2,2,3,1,1,1,3,0,1,1,3,0,0,3,3,3,0,3,0,2,0,3
Jaakko Naakka,Vihr.,Akaa,ylempi korkeakoulututkinto,1980,suomi,male,3,1,2,0,0,2,0,2,1,1,0,1,2,3,0,0,2,2,3,0,3,0,2,2,3
Tommi Nieminen,Kok.,Akaa,alempi korkeakoulututkinto,1974,suomi,male,3,0,3,1,0,0,1,3,2,0,2,1,3,2,0,2,1,2,3,0,3,0,1,0,3
Toni Nord,SDP,Akaa,ammattitutkinto,1988,suomi,male,2,1,0,2,2,0,2,1,1,2,0,0,0,1,0,1,1,3,1,2,1,1,0,0,1
Antti Orava,Vihr.,Akaa,alempi korkeakoulututkinto,1981,suomi,male,3,1,2,2,1,2,1,2,0,2,1,1,2,3,0,1,1,2,2,0,2,0,1,1,3
Jouni Parikka,Kok.,Akaa,ammattitutkinto,1978,suomi,male,2,1,1,2,1,0,2,3,3,2,0,1,1,1,1,2,0,1,1,2,1,2,0,1,0
Marko Peltola,Kok.,Akaa,alempi korkeakoulututkinto,1968,suomi,male,2,2,2,2,1,0,2,3,3,1,0,3,1,1,2,2,1,1,2,0,1,1,0,2,0
Sami Rajala,Kok.,Akaa,alempi korkeakoulututkinto,1974,suomi,male,2,2,1,1,0,1,0,2,3,0,2,3,3,2,2,2,1,1,2,0,1,1,1,1,1
Jarkko Rajaniemi,Kok.,Akaa,ylioppilas,1986,suomi,male,3,1,1,1,2,0,2,3,3,2,0,2,2,2,2,2,1,3,0,2,0,3,1,2,0
Olli Ristimäki,Kok.,Akaa,ylempi korkeakoulututkinto,1981,suomi,male,3,2,0,0,0,1,2,2,1,1,3,0,1,1,2,3,1,1,1,1,1,1,0,1,0
Jouko Rytkönen,Kok.,Akaa,alempi korkeakoulututkinto,1952,suomi,male,3,3,2,2,0,1,3,2,3,2,0,2,2,2,0,0,1,2,2,1,2,1,2,0,0
Harri Rämö,SDP,Akaa,ylempi korkeakoulututkinto,1957,suomi,male,2,2,0,0,0,0,3,1,0,3,0,0,2,2,0,0,0,3,0,1,0,1,0,1,1
Timo Räsänen,PS,Akaa,alempi korkeakoulututkinto,1973,suomi,male,3,1,1,2,2,0,1,2,2,2,1,1,2,2,2,2,1,2,0,2,1,3,1,1,0
Jouni Salonen,SDP,Akaa,alempi korkeakoulututkinto,1972,suomi,male,3,1,2,1,0,3,0,1,1,2,1,1,2,2,1,1,1,2,1,1,1,0,1,2,3
Mika Setälä,KD,Akaa,ylempi korkeakoulututkinto,1967,suomi,male,3,0,0,3,0,2,3,1,0,1,0,3,2,3,1,2,3,3,3,0,2,0,0,2,1
Antti Siponen,PS,Akaa,ammattitutkinto,1986,suomi,male,3,1,1,3,1,1,2,2,1,2,0,1,1,2,1,1,0,3,2,2,1,2,1,1,2
Joonas Tanskanen,Kok.,Akaa,joku muu,1995,suomi,male,3,2,0,1,0,0,3,3,3,3,0,3,1,0,3,3,2,1,3,0,0,1,1,0,3
Tommi Vihervaara,Lib.,Akaa,ylempi korkeakoulututkinto,1982,suomi,male,1,2,0,1,1,1,1,3,3,0,0,3,1,2,2,2,2,2,2,1,1,1,0,2,2
Erik Viherä,Vas.,Akaa,ammattitutkinto,1988,suomi,male,2,1,1,2,0,1,2,1,2,2,2,0,0,2,1,1,1,2,2,1,2,1,2,1,3
Anttijussi Vikman,Kok.,Akaa,ylioppilas,1967,suomi,male,3,1,2,0,0,0,3,2,1,1,1,2,1,1,1,2,1,3,1,1,1,1,2,2,0
Timo Virtanen,PS,Akaa,alempi korkeakoulututkinto,1964,suomi,male,2,0,1,1,0,0,2,3,2,2,0,2,1,1,2,3,0,2,0,2,1,2,0,2,0
Pekka Vuorivirta,Kok.,Akaa,alempi korkeakoulututkinto,1966,suomi,male,3,1,3,3,3,0,2,3,2,3,3,0,3,3,2,2,1,3,3,0,3,1,1,2,2
Saara Almusa,Vas.,Akaa,ylioppilas,1980,suomi,,3,0,2,2,1,2,0,1,1,3,1,1,1,3,1,1,2,3,3,0,3,0,2,0,3
Jaana Kurtti,Vihr.,Akaa,alempi korkeakoulututkinto,1985,suomi,,3,1,2,0,1,3,1,1,2,2,1,0,1,3,1,1,2,2,3,0,2,0,1,0,3
Jenny-sofia Kainulainen,Kesk.,Enonkoski,ammattitutkinto,1991,suomi,female,1,2,0,3,3,1,2,2,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,2,2
Maria Loikkanen,SDP,Enonkoski,ylempi korkeakoulututkinto,1976,suomi,female,2,1,2,2,2,1,2,2,1,0,0,0,1,2,0,0,1,3,2,0,3,1,2,0,2
Outi Nevavirta,Kok.,Enonkoski,alempi korkeakoulututkinto,1977,suomi,female,2,2,1,2,2,0,2,2,1,2,2,3,2,0,2,2,1,0,0,2,1,2,1,3,0
Johanna Venäläinen,Kesk.,Enonkoski,ylempi korkeakoulututkinto,1960,suomi,female,1,2,1,2,2,1,1,2,1,1,1,0,0,1,1,1,0,3,2,0,2,1,0,1,0
Sami Heikkinen,Kesk.,Enonkoski,ammattitutkinto,1958,suomi,male,2,2,0,2,2,0,3,2,3,1,2,0,2,0,1,2,0,2,1,2,2,1,2,3,0
